MÅNEDSTRAFIK;;;;;;;;;
År;Måned;MC og Bil;Bil, 3-6m;Bil+anhænger;Små lastbiler;Store lastbiler;Lastbiler over 20 meter;Busser;Total
2023;7;11.061;1.150.570;62.915;27.954;101.484;8.697;6.224;1.368.905
2023;6;13.480;1.078.227;45.183;23.122;121.998;10.087;3.730;1.295.827
2023;5;11.835;1.048.444;38.167;17.367;118.516;10.068;3.535;1.247.932
2023;4;10.194;966.301;30.771;13.284;102.954;8.755;4.359;1.136.618
2023;3;6.098;869.302;25.259;12.600;122.818;10.459;2.448;1.048.984
2023;2;4.641;739.135;20.615;10.443;104.701;8.802;1.950;890.287
2023;1;5.325;733.052;19.624;10.171;108.001;9.314;1.787;887.274
2022;12;4.290;857.637;19.439;10.718;104.412;8.764;2.042;1.007.302
2022;11;5.653;846.127;23.626;11.991;119.681;10.237;2.298;1.019.613
2022;10;6.573;942.276;30.796;13.457;115.325;10.139;2.878;1.121.444
2022;9;9.793;964.455;35.579;17.357;119.898;10.419;3.576;1.161.077
2022;8;13.802;1.115.454;54.114;26.584;118.551;10.331;3.121;1.341.957
2022;7;12.440;1.082.391;63.743;27.348;104.279;8.727;3.290;1.302.218
2022;6;14.290;1.033.301;43.014;21.727;124.033;10.330;3.595;1.250.290
2022;5;12.821;1.022.770;36.123;17.170;123.888;9.978;3.490;1.226.240
2022;4;10.012;938.171;30.798;13.675;111.455;9.285;3.094;1.116.490
2022;3;7.301;857.526;25.323;13.138;130.452;10.829;2.495;1.047.064
2022;2;5.344;717.940;20.406;10.854;107.289;8.622;1.593;872.048
2022;1;5.460;626.814;19.279;10.506;109.136;8.719;1.241;781.155
2021;12;5.201;817.829;18.979;11.026;108.994;8.905;2.020;972.954
2021;11;6.787;889.795;25.013;13.228;125.346;10.279;2.568;1.073.016
2021;10;7.814;1.028.870;30.744;14.174;116.380;9.779;3.216;1.210.977
2021;9;14.639;1.045.694;36.325;16.794;120.683;10.289;3.659;1.248.083
2021;8;13.578;1.147.168;52.346;20.898;112.719;9.756;3.098;1.359.563
2021;7;11.906;1.142.612;58.560;18.339;107.074;9.022;1.953;1.349.466
2021;6;13.870;967.878;36.251;14.874;126.699;10.669;2.325;1.172.566
2021;5;10.964;873.112;32.460;12.283;118.095;10.011;1.454;1.058.379
2021;4;7.750;720.205;27.846;10.999;112.225;9.620;819;889.464
2021;3;6.432;650.225;25.868;11.845;126.944;10.880;547;832.741
2021;2;4.494;524.760;18.074;9.793;101.304;8.422;433;667.280
2021;1;4.535;462.086;17.743;9.600;99.365;7.924;429;601.682
2020;12;4.944;655.553;17.937;10.310;100.998;8.766;575;799.083
2020;11;7.266;703.335;21.232;10.719;111.704;9.417;675;864.348
2020;10;8.480;879.062;28.830;11.841;110.907;9.608;1.698;1.050.426
2020;9;11.704;898.048;31.265;12.428;112.954;9.312;2.225;1.077.936
2020;8;14.075;1.065.911;42.947;12.766;105.245;8.728;2.148;1.251.820
2020;7;11.010;1.107.444;51.865;11.426;101.466;8.033;2.354;1.293.598
2020;6;12.166;836.596;31.781;10.789;112.329;8.895;1.391;1.013.947
2020;5;9.828;663.828;27.170;9.168;105.970;8.208;588;824.760
2020;4;6.278;420.491;20.845;8.415;104.382;8.152;249;568.812
2020;3;6.033;532.328;18.352;9.649;115.695;8.523;1.521;692.101
2020;2;7.152;764.427;17.744;8.853;100.998;7.315;2.587;909.076
2020;1;8.174;745.555;17.436;9.226;105.605;7.921;2.825;896.742
2019;12;6.287;868.898;17.066;9.012;91.709;7.186;2.928;1.003.086
2019;11;7.897;880.117;22.321;10.554;107.908;8.133;3.343;1.040.273
2019;10;8.944;947.828;29.177;11.567;115.936;8.631;3.663;1.125.746
2019;9;12.512;951.932;34.713;12.157;108.699;8.534;4.181;1.132.728
2019;8;16.585;1.081.434;54.380;14.811;107.569;8.555;4.550;1.287.884
2019;7;15.360;1.055.236;67.861;16.533;104.029;8.282;3.840;1.271.141
2019;6;16.592;1.058.662;45.782;13.989;104.796;8.346;4.601;1.252.768
2019;5;13.666;1.036.355;36.072;12.214;114.893;8.951;4.456;1.226.607
2019;4;11.929;951.891;31.443;10.734;106.788;8.327;5.918;1.127.030
2019;3;8.852;874.977;24.593;10.245;106.492;8.313;3.820;1.037.292
2019;2;7.103;739.438;19.778;8.924;96.345;7.232;3.036;881.856
2019;1;7.780;732.182;18.802;9.637;105.391;7.797;3.084;884.673
