,Title,Price (DKK),Year,KM driven,Motor (Litres),Manual/Automatic gear,Horsepower,Car Manufacturer
0,"Mercedes GLA200 1,3 Advantage",479900,2022,14000,1.3,Manuelt gear,163,Mercedes
1,"Mercedes C300 2,0 AMG Line",589900,2022,14000,2.0,Manuelt gear,258,Mercedes
2,"Mercedes A200 1,3 Advantage AMG",389900,2023,12000,1.3,Automatgear,163,Mercedes
3,"Mercedes A200 1,3 AMG Line",344900,2020,39000,1.3,Automatgear,163,Mercedes
4,"Mercedes GLA200 1,3 Advantage",469900,2022,21000,1.3,Automatgear,163,Mercedes
5,"Mercedes C300 2,0 AMG Line stc",499900,2020,75000,2.0,Manuelt gear,258,Mercedes
6,"Mercedes GLC300 2,0 AMG Line Coupé aut. 4Matic",649900,2020,53000,2.0,Manuelt gear,258,Mercedes
7,"Mercedes GLB200 1,3 Progressive Line",509900,2022,13000,1.3,Automatgear,163,Mercedes
8,"Mercedes A200 1,3 AMG Line",379900,2022,25000,1.3,Automatgear,163,Mercedes
9,"BMW 420 Gran Coupé i 2,0",274900,2018,96000,2.0,Automatgear,184,BMW
10,"VW T-Roc 1,5 TSi 150 Style",174900,2018,170000,1.5,Manuelt gear,150,VW
11,"VW Beetle The1,2 TSi 105 Design Cabriole",154900,2013,211000,1.2,Manuelt gear,105,VW
12,"Ford Focus 1,0 SCTi 125 Titanium stc",154900,2018,81500,1.0,Manuelt gear,125,Ford
13,"BMW 320 i 2,0 Touring",274900,2018,75000,2.0,Automatgear,184,BMW
14,"VW T-Cross - Style 1,5 TSI 150 HK DSG7 EVO Hvid",274900,2022,21000,1.5,Automatgear,150,VW
15,Skoda Octavia TSi 150 Style DSG,234900,2020,69000,1.5,Automatgear,150,Skoda
16,BMW 118 i M-Spor,289900,2020,30000,1.5,Automatgear,136,BMW
17,Skoda Superb TSi iV Style Combi DSG,379900,2021,3000,1.4,Automatgear,218,Skoda
18,VW Polo MPi 80,199900,2022,18000,1.0,Manuelt gear,80,VW
